STATE,COUNTY,Tract #,Tract Name,Tract Land Area,Tract Water Area,Latitude,Longitude,Population,Median 2010 HH Income,Median # Rooms,Median Value (owner occupied),Median Value per Room,Population Density
Georgia,Fulton County,7100,"Census Tract 71, Fulton County, Georgia",2477899,0,33.6963574,-84.3546555,2845,22658,4.9,77900,15897.95918,115
Georgia,Fulton County,7200,"Census Tract 72, Fulton County, Georgia",8964136,4884,33.6563757,-84.3609353,1871,32344,4.8,110800,23083.33333,21
Georgia,Fulton County,7300,"Census Tract 73, Fulton County, Georgia",7616138,57176,33.6715465,-84.3791814,6103,24599,4.6,123800,26913.04348,80
Georgia,Fulton County,7400,"Census Tract 74, Fulton County, Georgia",2325714,0,33.6789102,-84.4070935,2858,13674,3.5,114800,32800,123
Georgia,Fulton County,7500,"Census Tract 75, Fulton County, Georgia",3295627,2277,33.6934857,-84.4097937,3694,20126,3.7,120900,32675.67568,112
Georgia,Fulton County,7602,"Census Tract 76.02, Fulton County, Georgia",3369940,0,33.7109013,-84.4621548,2532,46278,5.7,117200,20561.40351,75
Georgia,Fulton County,7603,"Census Tract 76.03, Fulton County, Georgia",3153489,0,33.7065095,-84.440383,5061,19506,3.7,117100,31648.64865,160
Georgia,Fulton County,7604,"Census Tract 76.04, Fulton County, Georgia",1118927,0,33.7010616,-84.4654727,2206,26534,4.3,104800,24372.09302,197
Georgia,Fulton County,7703,"Census Tract 77.03, Fulton County, Georgia",4526552,5090,33.7039886,-84.5086055,3521,46563,6,167200,27866.66667,78
Georgia,Fulton County,7704,"Census Tract 77.04, Fulton County, Georgia",6762108,70772,33.7103251,-84.4851056,3986,38958,4.9,180300,36795.91837,59
Georgia,Fulton County,7705,"Census Tract 77.05, Fulton County, Georgia",3297152,26322,33.683153,-84.4909911,3537,26349,4.1,112900,27536.58537,107
Georgia,Fulton County,7706,"Census Tract 77.06, Fulton County, Georgia",12690360,675751,33.6739956,-84.522794,6505,44253,5,155200,31040,51
Georgia,Fulton County,7802,"Census Tract 78.02, Fulton County, Georgia",13317194,301226,33.7143952,-84.5299315,8199,55913,6.8,201700,29661.76471,62
Georgia,Fulton County,7805,"Census Tract 78.05, Fulton County, Georgia",15037649,163047,33.7542322,-84.5385907,3407,31421,4.9,159800,32612.2449,23
Georgia,Fulton County,7806,"Census Tract 78.06, Fulton County, Georgia",4965063,83348,33.7460701,-84.5158656,5487,32013,5.4,131300,24314.81481,111
Georgia,Fulton County,7807,"Census Tract 78.07, Fulton County, Georgia",2898746,0,33.7624507,-84.4968617,3223,15933,5.1,89700,17588.23529,111
Georgia,Fulton County,7808,"Census Tract 78.08, Fulton County, Georgia",1630896,0,33.751633,-84.4998632,3662,16854,4.3,88500,20581.39535,225
Georgia,Fulton County,7900,"Census Tract 79, Fulton County, Georgia",8448792,2961,33.7322732,-84.4910511,4462,55578,6.7,183400,27373.13433,53
Georgia,Fulton County,8000,"Census Tract 80, Fulton County, Georgia",5912417,0,33.7245322,-84.4555815,4809,39549,5.8,155800,26862.06897,81
Georgia,Fulton County,8101,"Census Tract 81.01, Fulton County, Georgia",903076,0,33.7359328,-84.453895,964,24679,5.4,124100,22981.48148,107
Georgia,Fulton County,8102,"Census Tract 81.02, Fulton County, Georgia",7213014,19991,33.7418906,-84.4717028,6196,25936,4.4,148600,33772.72727,86
Georgia,Fulton County,8201,"Census Tract 82.01, Fulton County, Georgia",5357967,0,33.7699902,-84.4826837,5850,37262,5.8,121800,21000,109
Georgia,Fulton County,8202,"Census Tract 82.02, Fulton County, Georgia",6925154,104597,33.7793033,-84.5210369,3036,17710,4.8,103800,21625,44
Georgia,Fulton County,8301,"Census Tract 83.01, Fulton County, Georgia",2628098,0,33.7642262,-84.4588616,2859,21988,4.8,124200,25875,109
Georgia,Fulton County,8302,"Census Tract 83.02, Fulton County, Georgia",1890474,0,33.7573898,-84.452286,2631,24906,4.8,99500,20729.16667,139
Georgia,Fulton County,8400,"Census Tract 84, Fulton County, Georgia",1778033,0,33.7618564,-84.4355748,3460,16627,4.7,97300,20702.12766,195
Georgia,Fulton County,8500,"Census Tract 85, Fulton County, Georgia",3793334,0,33.7758562,-84.4443269,4366,24255,5.3,92500,17452.83019,115
Georgia,Fulton County,8601,"Census Tract 86.01, Fulton County, Georgia",4510090,0,33.7814512,-84.4661915,4986,20992,5,94400,18880,111
Georgia,Fulton County,8602,"Census Tract 86.02, Fulton County, Georgia",4544176,64758,33.7919704,-84.4904445,2588,18354,4.9,169800,34653.06122,57
Georgia,Fulton County,8700,"Census Tract 87, Fulton County, Georgia",7711697,50285,33.7938339,-84.4598776,4304,15893,4.7,135600,28851.06383,56
